Modelo;Threshold;Precisão;Revocação;F1-score;Selecionadas;Cobertura
KNN;0.05;0.3846537830706696;0.9998146431881372;0.5555669996910083;14023;0.9997148356740572
KNN;0.06;0.3846537830706696;0.9998146431881372;0.5555669996910083;14023;0.9997148356740572
KNN;0.07;0.3852699320700751;0.9987025023169601;0.5560371517027863;13985;0.9970057745776003
KNN;0.08;0.3852699320700751;0.9987025023169601;0.5560371517027863;13985;0.9970057745776003
KNN;0.09;0.3852699320700751;0.9987025023169601;0.5560371517027863;13985;0.9970057745776003
KNN;0.1;0.38617418798505315;0.9961075069508805;0.5565739733830459;13916;0.9920866899550866
KNN;0.11;0.38617418798505315;0.9961075069508805;0.5565739733830459;13916;0.9920866899550866
KNN;0.12;0.38617418798505315;0.9961075069508805;0.5565739733830459;13916;0.9920866899550866
KNN;0.13;0.38897385478115215;0.9899907321594068;0.5585067447453728;13731;0.9788978398802309
KNN;0.14;0.38897385478115215;0.9899907321594068;0.5585067447453728;13731;0.9788978398802309
KNN;0.15;0.38897385478115215;0.9899907321594068;0.5585067447453728;13731;0.9788978398802309
KNN;0.16;0.38897385478115215;0.9899907321594068;0.5585067447453728;13731;0.9788978398802309
KNN;0.17;0.3936463060784168;0.980722891566265;0.5617965597791463;13441;0.9582234262493762
KNN;0.18;0.3936463060784168;0.980722891566265;0.5617965597791463;13441;0.9582234262493762
KNN;0.19;0.3936463060784168;0.980722891566265;0.5617965597791463;13441;0.9582234262493762
KNN;0.2;0.39978539127768836;0.9668211306765524;0.5656653291400066;13047;0.930134740144008
KNN;0.21;0.39978539127768836;0.9668211306765524;0.5656653291400066;13047;0.930134740144008
KNN;0.22;0.39978539127768836;0.9668211306765524;0.5656653291400066;13047;0.930134740144008
KNN;0.23;0.40722102404345395;0.9449490268767378;0.5691637825164676;12519;0.8924930491195552
KNN;0.24;0.40722102404345395;0.9449490268767378;0.5691637825164676;12519;0.8924930491195552
KNN;0.25;0.40722102404345395;0.9449490268767378;0.5691637825164676;12519;0.8924930491195552
KNN;0.26;0.41564236403434923;0.9151065801668211;0.5716436056272796;11878;0.8467954658872175
KNN;0.27;0.41564236403434923;0.9151065801668211;0.5716436056272796;11878;0.8467954658872175
KNN;0.28;0.41564236403434923;0.9151065801668211;0.5716436056272796;11878;0.8467954658872175
KNN;0.29;0.41564236403434923;0.9151065801668211;0.5716436056272796;11878;0.8467954658872175
KNN;0.3;0.4254555246387218;0.8785912882298424;0.5732946298984035;11141;0.794253938832252
KNN;0.31;0.4254555246387218;0.8785912882298424;0.5732946298984035;11141;0.794253938832252
KNN;0.32;0.4254555246387218;0.8785912882298424;0.5732946298984035;11141;0.794253938832252
KNN;0.33;0.4345703125;0.82483781278962;0.5692356891589383;10240;0.7300206744136308
KNN;0.34;0.4345703125;0.82483781278962;0.5692356891589383;10240;0.7300206744136308
KNN;0.35;0.4345703125;0.82483781278962;0.5692356891589383;10240;0.7300206744136308
KNN;0.36;0.4462836741317754;0.7645968489341983;0.5636015849159721;9243;0.6589434661723819
KNN;0.37;0.4462836741317754;0.7645968489341983;0.5636015849159721;9243;0.6589434661723819
KNN;0.38;0.4462836741317754;0.7645968489341983;0.5636015849159721;9243;0.6589434661723819
KNN;0.39;0.458225984541774;0.6923076923076923;0.5514543038535361;8151;0.5810936051899908
KNN;0.4;0.458225984541774;0.6923076923076923;0.5514543038535361;8151;0.5810936051899908
KNN;0.41;0.458225984541774;0.6923076923076923;0.5514543038535361;8151;0.5810936051899908
KNN;0.42;0.470028818443804;0.6046339202965709;0.5289014997973247;6940;0.4947601055108006
KNN;0.43;0.470028818443804;0.6046339202965709;0.5289014997973247;6940;0.4947601055108006
KNN;0.44;0.470028818443804;0.6046339202965709;0.5289014997973247;6940;0.4947601055108006
KNN;0.45;0.470028818443804;0.6046339202965709;0.5289014997973247;6940;0.4947601055108006
KNN;0.46;0.4787052810902896;0.5208526413345691;0.49889036839769196;5870;0.41847864832109505
KNN;0.47;0.4787052810902896;0.5208526413345691;0.49889036839769196;5870;0.41847864832109505
KNN;0.48;0.4787052810902896;0.5208526413345691;0.49889036839769196;5870;0.41847864832109505
KNN;0.49;0.5032433563507009;0.4457831325301205;0.472773736976607;4779;0.3407000784201896
KNN;0.5;0.5032433563507009;0.4457831325301205;0.472773736976607;4779;0.3407000784201896
KNN;0.51;0.5032433563507009;0.4457831325301205;0.472773736976607;4779;0.3407000784201896
KNN;0.52;0.5176223040504997;0.3647822057460612;0.4279656409698815;3802;0.27104869180865476
KNN;0.53;0.5176223040504997;0.3647822057460612;0.4279656409698815;3802;0.27104869180865476
KNN;0.54;0.5176223040504997;0.3647822057460612;0.4279656409698815;3802;0.27104869180865476
KNN;0.55;0.5384882108183079;0.28785912882298426;0.37516608286024883;2884;0.2056034790047765
KNN;0.56;0.5384882108183079;0.28785912882298426;0.37516608286024883;2884;0.2056034790047765
KNN;0.57;0.5384882108183079;0.28785912882298426;0.37516608286024883;2884;0.2056034790047765
KNN;0.58;0.5384882108183079;0.28785912882298426;0.37516608286024883;2884;0.2056034790047765
KNN;0.59;0.5595516113965436;0.22205746061167747;0.3179405520169851;2141;0.15263420546089684
KNN;0.6;0.5595516113965436;0.22205746061167747;0.3179405520169851;2141;0.15263420546089684
KNN;0.61;0.5595516113965436;0.22205746061167747;0.3179405520169851;2141;0.15263420546089684
