Feature transformada;Coeficiente;Exp(Coeficiente);Magnitude
cat__Cidade_São Bernardo do Campo;0.3051385153336941;1.3568129293862554;0.3051385153336941
cat__Cidade_Ponta Grossa;0.29692961648075605;1.3457205795644687;0.29692961648075605
cat__Grupo Problema_Cobrança / Contestação;-0.29649068852859406;0.7434225495896889;0.29649068852859406
cat__Problema_Negativação indevida (não cumprimento de acordo de parcelamento);0.2922991531295062;1.3395036744236293;0.2922991531295062
cat__Problema_SAC - Demanda não resolvida / não respondida / respondida após o prazo;-0.28895965009678265;0.7490424285824131;0.28895965009678265
cat__UF_RR;0.2881515747955327;1.3339594834363042;0.2881515747955327
cat__Problema_Cartão não solicitado - Envio ou cobrança;0.28715551257339594;1.3326314383065843;0.28715551257339594
cat__Cidade_Timon;0.27664946284419967;1.3187040352448995;0.27664946284419967
cat__Cidade_Itajaí;0.27654298650114323;1.3185636319366008;0.27654298650114323
cat__Cidade_Itapevi;0.27483205741344324;1.3163095918659482;0.27483205741344324
cat__Cidade_Campina Grande;0.26605364266405074;1.3048050500286004;0.26605364266405074
cat__Assunto_Financiamento de Imóveis;-0.26534827562443364;0.7669387973686296;0.26534827562443364
cat__Problema_Cobrança submetendo a ofensa, constrangimento ou ameaça;-0.26394825626638513;0.7680132785030747;0.26394825626638513
cat__Problema_Funcionamento inadequado do serviço;-0.2607256048962283;0.7704923099288574;0.2607256048962283
cat__Procurou Empresa_N;0.25922442224791475;1.2959246065089651;0.25922442224791475
cat__Cidade_Tubarão;-0.2587135077585756;0.7720441760293528;0.2587135077585756
cat__Cidade_Aparecida de Goiânia;-0.25806230837207106;0.7725470944554506;0.25806230837207106
cat__Assunto_Financiamentos de Veículos / Leasing;0.2543639633989899;1.289641101017807;0.2543639633989899
cat__Problema_Ligações indesejadas de telemarketing (0303);0.2517021172419373;1.286212839585569;0.2517021172419373
cat__Cidade_Foz do Iguaçu;0.2512288909328669;1.2856043138273685;0.2512288909328669
cat__Faixa Etária_entre 61 a 70 anos;-0.24957744483221778;0.7791299389053162;0.24957744483221778
cat__Cidade_Niterói;-0.24782488192611823;0.7804966103743257;0.24782488192611823
cat__Cidade_Goiânia;-0.24342494187708794;0.7839383147624679;0.24342494187708794
cat__Problema_SAC - Dificuldadede de contato / acesso;0.24007102607490285;1.271339445365389;0.24007102607490285
cat__Problema_Dificuldade de contato ou acesso aos serviços - caixa eletrônico, agência, internet banking;0.2394210434496495;1.270513365313026;0.2394210434496495
cat__Cidade_Juazeiro do Norte;-0.23910043967195319;0.7873357986518493;0.23910043967195319
cat__Problema_infrequent_sklearn;-0.23827291761890126;0.7879876060436904;0.23827291761890126
cat__Cidade_Teresina;0.23296191514814502;1.2623334026311395;0.23296191514814502
cat__Assunto_Seguro Prestamista;0.23024837667734543;1.2589126556433956;0.23024837667734543
cat__Cidade_Anápolis;0.22904343303129543;1.2573966503719285;0.22904343303129543
cat__Procurou Empresa_S;-0.228082968424368;0.7960582094001022;0.228082968424368
cat__Problema_Dificuldade para alterar/ ativar serviços;0.22633712804142353;1.2539983520327738;0.22633712804142353
cat__UF_GO;0.2251246021345087;1.2524787679973877;0.2251246021345087
cat__Cidade_Salto;0.22161855956638898;1.2480952130765415;0.22161855956638898
cat__Problema_Dificuldade de reclamar ou de obter tratamento a reclamação sobre dados pessoais ou financeiros;0.22092492899672633;1.2472297962573804;0.22092492899672633
cat__Problema_Dados pessoais ou financeiros incorretos / desatualizados ? dificuldade de retificação;0.21863617518852532;1.244378458561202;0.21863617518852532
cat__Cidade_Parnaíba;0.21804007844051002;1.2436369096481592;0.21804007844051002
cat__Cidade_Cariacica;0.2133516697045838;1.2378198784619883;0.2133516697045838
cat__Problema_Venda casada;-0.21170553110583487;0.8092029475832988;0.21170553110583487
